Date,Closing_price
2021-03-29,102.7975
2021-03-30,102.777
2021-03-31,103.4315
2021-04-01,106.8875
2021-04-05,111.2775
2021-04-06,111.2375
2021-04-07,112.484
2021-04-08,113.272
2021-04-09,114.294
2021-04-12,112.7395
2021-04-13,113.3635
2021-04-14,112.742
2021-04-15,114.833
2021-04-16,114.888
2021-04-19,115.12
2021-04-20,114.6815
2021-04-21,114.6645
2021-04-22,113.396
2021-04-23,115.765
2021-04-26,116.337
2021-04-27,115.356
2021-04-28,118.9955
2021-04-29,121.4945
2021-04-30,120.506
2021-05-03,119.7585
2021-05-04,117.7125
2021-05-05,117.837
2021-05-06,119.0675
2021-05-07,119.9345
2021-05-10,117.083
2021-05-11,115.438
2021-05-12,111.954
2021-05-13,113.0985
2021-05-14,115.808
2021-05-17,116.0705
2021-05-18,115.1715
2021-05-19,115.4355
2021-05-20,117.8045
2021-05-21,117.255
2021-05-24,120.3335
2021-05-25,120.4535
2021-05-26,121.6765
2021-05-27,120.1255
2021-05-28,120.578
2021-06-01,121.4905
2021-06-02,121.064
2021-06-03,120.2305
2021-06-04,122.588
2021-06-07,123.3045
2021-06-08,124.1425
2021-06-09,124.57
2021-06-10,126.08
2021-06-11,125.6965
2021-06-14,126.352
2021-06-15,126.033
2021-06-16,125.6965
2021-06-17,126.371
2021-06-18,125.5675
2021-06-21,126.455
2021-06-22,126.9995
2021-06-23,126.4615
2021-06-24,127.282
2021-06-25,126.995
2021-06-28,126.8195
2021-06-29,126.0185
2021-06-30,125.316
2021-07-01,126.3685
2021-07-02,128.719
2021-07-06,129.771
2021-07-07,130.0775
2021-07-08,129.177
2021-07-09,129.5745
2021-07-12,130.564
2021-07-13,130.9945
2021-07-14,132.0825
2021-07-15,131.2665
2021-07-16,131.8455
2021-07-19,129.254
2021-07-20,131.1015
2021-07-21,132.6005
2021-07-22,133.3285
2021-07-23,137.816
2021-07-26,139.6445
2021-07-27,136.7965
2021-07-28,136.3815
2021-07-29,136.5405
2021-07-30,135.221
2021-08-02,135.9895
2021-08-03,136.28
2021-08-04,136.0285
2021-08-05,136.94
2021-08-06,137.036
2021-08-09,138.002
2021-08-10,138.0965
2021-08-11,137.6895
2021-08-12,138.3895
2021-08-13,138.406
2021-08-16,138.916
2021-08-17,137.3005
2021-08-18,136.57
2021-08-19,136.9135
2021-08-20,138.437
2021-08-23,141.0995
2021-08-24,142.3985
2021-08-25,142.95
2021-08-26,142.123
2021-08-27,144.5505
2021-08-30,145.4695
2021-08-31,145.462
2021-09-01,145.842
2021-09-02,144.219
2021-09-03,144.775
2021-09-07,145.519
2021-09-08,144.8835
2021-09-09,144.9135
2021-09-10,141.921
2021-09-13,143.465
2021-09-14,143.406
2021-09-15,145.206
2021-09-16,144.3735
2021-09-17,141.4635
2021-09-20,139.017
2021-09-21,139.6465
2021-09-22,140.9385
2021-09-23,141.8265
2021-09-24,142.633
2021-09-27,141.501
2021-09-28,136.184
2021-09-29,134.521
2021-09-30,133.2655
2021-10-01,136.4625
2021-10-04,133.765
2021-10-05,136.177
2021-10-06,137.354
2021-10-07,139.1855
2021-10-08,140.056
2021-10-11,138.8475
2021-10-12,136.713
2021-10-13,137.9
2021-10-14,141.412
2021-10-15,141.675
2021-10-18,142.9605
2021-10-19,143.822
2021-10-20,142.415
2021-10-21,142.7805
2021-10-22,138.625
2021-10-25,138.773
2021-10-26,139.672
2021-10-27,146.4275
2021-10-28,146.129
2021-10-29,148.2705
2021-11-01,143.774
2021-11-02,145.863
2021-11-03,146.79
2021-11-04,148.683
2021-11-05,149.241
2021-11-08,149.3515
2021-11-09,149.2485
2021-11-10,146.626
2021-11-11,146.748
2021-11-12,149.6455
2021-11-15,149.388
2021-11-16,149.076
2021-11-17,149.062
2021-11-18,150.709
2021-11-19,149.9525
2021-11-22,147.0785
2021-11-23,146.757
2021-11-24,146.7175
2021-11-26,142.806
2021-11-29,146.114
2021-11-30,142.452
2021-12-01,141.618
2021-12-02,143.7765
2021-12-03,142.5205
2021-12-06,143.7965
2021-12-07,148.0365
2021-12-08,148.7205
2021-12-09,148.106
2021-12-10,148.675
2021-12-13,146.7045
2021-12-14,144.9705
2021-12-15,147.3685
2021-12-16,144.8385
2021-12-17,142.803
2021-12-20,142.4015
2021-12-21,144.2205
2021-12-22,146.949
2021-12-23,147.1425
2021-12-27,148.064
2021-12-28,146.448
2021-12-29,146.5045
2021-12-30,146.0025
2021-12-31,144.6795
2022-01-03,145.0745
2022-01-04,144.4165
2022-01-05,137.6535
2022-01-06,137.551
2022-01-07,137.0045
2022-01-10,138.574
2022-01-11,140.0175
2022-01-12,141.648
2022-01-13,139.131
2022-01-14,139.7865
2022-01-18,136.2905
2022-01-19,135.652
2022-01-20,133.5065
2022-01-21,130.092
2022-01-24,130.372
2022-01-25,126.7355
2022-01-26,129.24
2022-01-27,129.121
2022-01-28,133.2895
2022-01-31,135.6985
2022-02-01,137.8785
2022-02-02,148.0365
2022-02-03,142.6505
2022-02-04,143.016
2022-02-07,138.938
2022-02-08,139.213
2022-02-09,141.453
2022-02-10,138.6025
2022-02-11,134.13
2022-02-14,135.3
2022-02-15,136.4255
2022-02-16,137.4875
2022-02-17,132.3085
2022-02-18,130.4675
2022-02-22,129.4025
2022-02-23,127.585
2022-02-24,132.6735
2022-02-25,134.5195
2022-02-28,134.891
2022-03-01,134.168
2022-03-02,134.7515
2022-03-03,134.308
2022-03-04,132.122
2022-03-07,126.4645
2022-03-08,127.2785
2022-03-09,133.866
2022-03-10,132.682
2022-03-11,130.4755
2022-03-14,126.741
2022-03-15,129.6605
2022-03-16,133.6905
2022-03-17,134.6005
2022-03-18,136.8015
2022-03-21,136.4785
2022-03-22,140.2775
2022-03-23,138.5035
2022-03-24,141.312
2022-03-25,141.5215
